player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0019596,Thomas Brady,QB,13,306.6,23.59,51.5,179.5,0.541,1.868,,
00-0027939,Cameron Newton,QB,13,299.5,23.04,47.0,170.9,0.497,1.772,,
00-0027793,Antonio Brown,WR,13,294.5,22.65,60.2,164.4,0.596,1.622,,
00-0031235,Odell Beckham,WR,13,288.3,22.18,54.0,158.2,0.554,1.607,,
00-0027944,Quintorres Jones,WR,13,283.6,21.82,50.8,153.1,0.528,1.564,,
00-0030564,DeAndre Hopkins,WR,13,272.1,20.93,40.6,143.2,0.451,1.506,,
00-0021429,Carson Palmer,QB,13,266.5,20.5,14.2,138.7,0.169,1.49,,
00-0024334,Brandon Marshall,WR,13,268.7,20.67,35.6,139.5,0.358,1.445,,
00-0023459,Aaron Rodgers,QB,13,267.4,20.57,14.1,137.8,0.145,1.44,,
00-0029263,Russell Wilson,QB,13,265.2,20.4,12.8,137.4,0.125,1.432,,
00-0027656,Robert Gronkowski,TE,13,253.3,19.48,22.5,127.9,0.243,1.329,,
00-0031285,Devonta Freeman,RB,13,258.9,19.92,31.6,132.9,0.299,1.313,,
00-0031407,Robby Bortles,QB,13,254.1,19.54,2.4,124.2,0.014,1.301,,
00-0031428,Allen Robinson,WR,13,246.4,18.95,15.6,116.1,0.142,1.178,,
00-0022921,Larry Fitzgerald,WR,13,242.8,18.68,11.3,113.9,0.101,1.176,,
00-0027973,Andrew Dalton,QB,13,241.2,18.55,-12.1,111.6,-0.138,1.165,,
00-0026281,Gary Barnidge,TE,13,235.6,18.12,3.9,109.1,0.06,1.16,,
00-0023682,Ryan Fitzpatrick,QB,13,233.4,17.95,-19.2,104.8,-0.208,1.105,,
00-0027942,Adriel Green,WR,13,238.9,18.38,5.9,108.5,0.024,1.084,,
00-0022803,Elisha Manning,QB,13,233.7,17.98,-21.0,103.7,-0.207,1.083,,
00-0031382,Jarvis Landry,WR,13,230.1,17.7,-3.0,100.9,-0.034,1.058,,
00-0022942,Philip Rivers,QB,13,232.3,17.87,-23.1,100.4,-0.238,1.055,,
00-0020531,Drew Brees,QB,13,230.9,17.76,-23.9,100.8,-0.238,1.041,,
00-0024389,Hubert Walker,TE,13,224.1,17.24,-6.7,98.7,-0.074,1.039,,
00-0025418,Greg Olsen,TE,13,228.4,17.57,-1.9,102.2,-0.048,1.038,,
00-0023436,Alexander Smith,QB,13,223.0,17.15,-29.4,95.2,-0.313,1.018,,
00-0031280,Derek Carr,QB,13,223.9,17.22,-27.9,95.1,-0.317,0.985,,
00-0026498,John Stafford,QB,13,221.7,17.05,-30.7,93.9,-0.34,0.979,,
00-0025394,Adrian Peterson,RB,13,217.7,16.75,-8.9,92.2,-0.105,0.963,,
00-0031503,Jameis Winston,QB,13,216.8,16.67,-35.1,87.9,-0.361,0.957,,
00-0027966,Mark Ingram,RB,12,202.4,16.87,-9.5,86.8,-0.104,0.92,,
00-0028434,Douglas Baldwin,WR,13,213.0,16.38,-18.5,84.1,-0.204,0.857,,
00-0030279,Keenan Allen,WR,8,163.5,20.44,20.2,83.2,0.206,0.845,,
00-0030472,Jordan Reed,TE,13,207.9,15.99,-22.2,81.0,-0.227,0.843,,
00-0027874,Demaryius Thomas,WR,13,208.7,16.05,-24.3,78.3,-0.249,0.839,,
00-0027690,Eric Decker,WR,13,205.5,15.81,-27.6,76.3,-0.274,0.83,,
00-0025389,Calvin Johnson,WR,13,209.1,16.08,-22.4,80.2,-0.264,0.818,,
00-0032268,Marcus Mariota,QB,13,207.7,15.98,-47.3,80.6,-0.506,0.814,,
00-0028118,Tyrod Taylor,QB,13,209.1,16.08,-42.6,79.2,-0.469,0.813,,
00-0029615,Lamar Miller,RB,13,202.5,15.58,-24.1,77.0,-0.252,0.793,,
00-0029604,Kirk Cousins,QB,13,202.3,15.56,-49.3,72.5,-0.507,0.773,,
